,Line_Lyrics
19029,anything to stop myself from loving you
19030,thats what im tryna do
19031,but i just wanna see you naked
19032,anything to stop myself from rushing it
19033,you know i cant resist
19034,cause i just wanna see you naked
19035,time out the meter
19036,in another minute youll be underneath me
19037,i feel the fever so much of you on the brain
19038,say you feel the same way
19039,ima keep you talking all the way to my place
19040,wait top on the breaks
19041,baby its too good to waste
19042,wooh i we got so much time
19043,wooh i more than just tonight
19044,wooh i but one things on my mind 
19045,so im doing
19046,anything to stop myself from loving you
19047,thats what im tryna do
19048,but i just wanna see you naked
19049,anything to stop myself from rushing it
19050,you know i cant resist
19051,cause i just wanna see you naked
19052,ice broke in my self control
19053,so thin no matter what cant win
19054,inner self in my self control so thin
19055,i wanna see you again
19056,wooh i we got so much time
19057,wooh i more than just tonight
19058,wooh i but one things on my mind 
19059,so im doing
19060,anything to stop myself from loving you
19061,thats what im tryna do
19062,but i just wanna see you naked 
19063,anything to stop myself from rushing it
19064,you know i cant resist
19065,cause i just wanna see you naked yeah yeah
19066,if you dont wanna see me
19067,did a full 180 crazy
19068,thinking bout the way i was
19069,did the heartbreak change me maybe
19070,but look at where i ended up
19071,im all good already
19072,so moved on its scary
19073,im not where you left me at all so
19074,if you dont wanna see me dancing with somebody
19075,if you wanna believe that anything could stop me
19076,dont show up dont come out
19077,dont start caring about me now
19078,walk away you know how
19079,dont start caring about me now
19080,arent you the guy who tried to
19081,hurt me with the word goodbye 
19082,though it took some time to survive you
19083,im better on the other side
19084,im all good already
19085,so moved on its scary
19086,im not where you left me at all so
19087,if you dont wanna see me dancing with somebody
19088,if you wanna believe that anything could stop me
19089,dont show up dont come out
19090,dont start caring about me now
19091,walk away you know how
19092,dont start caring about me now 
19093,up up
19094,dont come out out out
19095,dont show up up up
19096,dont start now 
19097,up up
19098,dont come out out
19099,im not where you left me at all so
19100,if you dont wanna see me dancing with somebody
19101,if you wanna believe that anything could stop me
19102,dont show up dont come out 
19103,dont start caring about me now 
19104,walk away you know how 
19105,dont start caring about me now 
19106,up up
19107,dont come out out out
19108,dont show up up up
19109,walk away walk away 
19110,up up
19111,dont come out out out
19112,dont show up up up
19113,walk away walk away oh
19114,we bout to fuck this shit up
19115,this that non christian shit
19116,yeah pop that shit
19117,fuck that shit
19118,pop a tit
19119,fuck a bitch
19120,come on down
19121,and get railed
19122,get jailed
19123,you a bad ass bitch
19124,you love that shit
19125,you die for that shit
19126,you come on down for this shit
19127,every day
19128,every night
19129,you make time for this shit
19130,you die for this shit
19131,you lie for this shit
19132,you hope to make it another
19133,day for this shit
19134,i dont know why
19135,why it pains me
19136,pains me to talk to you
19137,i dont know why
19138,why is it painful
19139,love is so painful
19140,love is so painful
19141,why are you hating
19142,you used to love me
19143,yeah pop that shit
19144,fuck that shit
19145,pop a tit
19146,fuck a bitch
19147,come on down
19148,and get railed
19149,get jailed
19150,you a bad ass bitch
19151,you love that shit
19152,you die for that shit
19153,you come on down for this shit
19154,every day
19155,every night
19156,you make time for this shit
19157,you die for this shit
19158,you lie for this shit
19159,you hope to make it another
19160,day for this shit
19161,balls in my face
19162,love balls in my face
19163,hold the phone
19164,i like balls in my face
19165,this shit is wack
19166,i need a nap
19167,i need some coke right now
19168,come from the streets
19169,fight for these feats
19170,make some more beats
19171,ye on the beats
19172,pain so deep
19173,you break my heart
19174,you break me away
19175,ohhh 
19176,yeah pop that shit
19177,fuck that shit
19178,pop a tit
19179,fuck a bitch
19180,come on down
19181,and get railed
19182,get jailed
19183,you a bad ass bitch
19184,you love that shit
19185,you die for that shit
19186,you come on down for this shit
19187,every day
19188,every night
19189,you make time for this shit
19190,you die for this shit
19191,you lie for this shit
19192,you hope to make it another
19193,day for this shit
19194,ohh now stop
19195,wait a minute
19196,stop
19197,wait a minute
19198,turn the record back
19199,we gonna make this the best it is
19200,we gonna fuck this up so good
19201,i got a hot girlfriend
19202,but kanye east fine too
19203,kanye southeast on the beat
19204,yeah this collab costed alot
19205,154k in total
19206,we got dua
19207,next time we need kendall
19208,yeah pop that shit
19209,fuck that shit
19210,pop a tit
19211,fuck a bitch
19212,come on down
19213,and get railed
19214,get jailed
19215,you a bad ass bitch
19216,you love that shit
19217,you die for that shit
19218,you come on down for this shit
19219,every day
19220,every night
19221,you make time for this shit
19222,you die for this shit
19223,you lie for this shit
19224,you hope to make it another
19225,day for this shit
19226,meow meow meow
19227,ladies and gentelmenı
19228,loving til late in the night
19229,kaşların arasından
19230,dom dom kurşunu değdi
19231,dom dom kurşunu değdi
19232,bir avcı vurdu beni
19233,bin avcı beni yedi vah
19234,bin avcı beni yedi
19235,ah dedim 
19236,yaremi 
19237,egdi yar boynun egdi
19238,allah kerimsin dedi
19239,hançer yarası değil
19240,dom dom kurşunu değdi
19241,hançer yarası değil
19242,dom dom kurşunu değdi 
19243,gel gel gümüle gel
19244,gel gel gümüle gel
19245,gel gel gümüle gel böğrüme
19246,dom dom kurşunu 
19247,gel gel gümüle gel
19248,gel gümüle gel 
19249,gel gel gümüle gel böğrüme
19250,dom dom kurşunu 
19251,tonight im alive aint no dollar sign
19252,guaranteed i can blow your mind mwah
19253,hançer yarası değil
19254,dom dom kurşunu değdi 
19255,tonight im alive aint no dollar sign
19256,guaranteed i can blow your mind mwah
19257,hançer yarası değil
19258,dom dom kurşunu değdi
19259,i know its hot
19260,i know weve got
19261,something that money cant buy
19262,fighting in fits
19263,biting your lip
19264,loving til late in the night
19265,tell me im too crazy
19266,you cant tame me cant tame me
19267,tell me i have changed
19268,but im the same me old same me
19269,inside
19270,hey 
19271,if you dont like the way i talk then why am i on your mind 
19272,if you dont like the way i rock then finish your glass of wine
19273,we fight and we argue youll still love me blind
19274,if we dont fuck this whole thing up
19275,guaranteed i can blow your mind
19276,mwah 
19277,and tonight im alive aint no dollar sign
19278,guaranteed i can blow your mind mwah
19279,and tonight im alive aint no dollar sign
19280,guaranteed i can blow your mind mwah
19281,yeah im so bad
19282,best that youve had
19283,i guess youre diggin the show
19284,open the door
19285,you want some more
19286,when you wanna leave let me know
19287,tell me im too crazy
19288,you cant tame me cant tame me
19289,tell me i have changed
19290,but im the same me old same me
19291,inside
19292,hey 
19293,if you dont like the way i talk then why am i on your mind 
19294,if you dont like the way i rock then finish your glass of wine
19295,we fight and we argue youll still love me blind
19296,if we dont fuck this whole thing up
19297,guaranteed i can blow your mind
19298,mwah 
19299,and tonight im alive aint no dollar sign
19300,guaranteed i can blow your mind mwah
19301,and tonight im alive aint no dollar sign
19302,guaranteed i can blow your mind mwah
19303,and tonight im alive aint no dollar sign
19304,guaranteed i can blow your mind mwah hey 
19305,and tonight im alive aint no dollar sign
19306,guaranteed i can blow your mind hey 
19307,tell me im too crazy
19308,you cant tame me cant tame me
19309,tell me i have changed
19310,but im the same me old same me
19311,inside
19312,hey 
19313,mwah 
19314,if you dont like the way i talk then why am i on your mind 
19315,if you dont like the way i rock then finish your glass of wine
19316,we fight and we argue youll still love me blind
19317,if we dont fuck this whole thing up
19318,guaranteed i can blow your mind
19319,mwah 
19320,and tonight im alive aint no dollar sign
19321,guaranteed i can blow your mind mwah
19322,and tonight im alive aint no dollar sign
19323,guaranteed i can blow your mind mwah
19324,again and this the end
19325,we cant never be
19326,oh no
19327,we cant never be
19328,fill me up
19329,so close ive got you face to face
19330,playing rough
19331,cant help it when you say my name
19332,i wanna feel you closer
19333,im losing my composure
19334,im drowning in a pool of adrenaline
19335,i wanna feel your thunder
19336,ill let you take me under
19337,shakes and shivers riding up my skin
19338,afterlight
19339,dirty dancing in the dark tonight
19340,you and i
19341,baby we can set the world on fire
19342,i dawn is here im coming round
19343,i love the way you hold me down
19344,afterlight
19345,dirty dancing in the dark tonight
19346,silhouettes
19347,and shadows moving in our bed
19348,take a guess
19349,tell me what you think happens next
19350,i wanna feel you closer
19351,im losing my composure
19352,im drowning in a pool of adrenaline
19353,i wanna feel your thunder
19354,ill let you take me under
19355,shakes and shivers riding up my skin
19356,afterlight
19357,dirty dancing in the dark tonight
19358,you and i
19359,baby we can set the world on fire
19360,i dawn is here im coming round
19361,i love the way you hold me down
19362,afterlight
19363,dirty dancing in the dark tonight
19364,afterlight better do me right
19365,afterlight need you by my side
19366,afterlight better do me right
19367,afterlight need you by my side
19368,afterlight better do me right
19369,afterlight need you by my side
19370,afterlight better do me right
19371,afterlight need you by my side
19372,afterlight
19373,dirty dancing in the dark tonight
19374,you and i
19375,baby we can set the world on fire
19376,i dawn is here im coming round
19377,i love the way you hold me down
19378,afterlight
19379,dirty dancing in the dark tonight
19380,took myself out for dancing a little romancing
19381,i m learning to be alone
19382,left that sadness behind me won t let it define me
19383,i m on my own
19384,i don t have to tell you where i m going
19385,who i m going with or when i ll be back home 
19386,i don t have to tell you where i m going
19387,who i m going with or when i ll be back home 
19388,feeling guilty cause i feel so good
19389, cause i feel so good
19390,guilty cause i feel so good
19391,i know i shouldn t feel so guilty
19392, cause i did no wrong i m just having fun
19393,feeling guilty cause i feel so good
19394, cause i feel so good
19395,guilty cause i feel so good
19396,i know i shouldn t feel so guilty
19397, cause i did no wrong i m just having fun
19398,you re the one that pulled the plug
19399,and somеhow i m the guilty one
19400,we could blamе it on timing if that justifies it
19401,but we have to let go 
19402,this new rhythm i m finding
19403,is helping me find me
19404,i hope you do too
19405,you don t have to tell me where you re going
19406,who you re going with or when you ll be back home 
19407,you don t have to tell me where you re going
19408,who you re going with or when you ll be back home
19409,feeling guilty cause i feel so good
19410, cause i feel so good
19411,guilty cause i feel so good
19412,i know i shouldn t feel so guilty
19413, cause i did no wrong i m just having fun
19414,feeling guilty cause i feel so good
19415, cause i feel so good
19416,guilty cause i feel so good
19417,i know i shouldn t feel so guilty
19418, cause i did no wrong i m just having fun
19419,you re the one that pulled the plug
19420,and somehow i m the guilty one
19421,da ra ra da da
19422,da da da
19423,feeling guilty cause i feel so good
19424, cause i feel so good 
19425,guilty cause i feel so good
19426,i know i shouldn t feel so guilty
19427, cause i did no wrong i m just having fun 
19428,you re the one that pulled the plug
19429,somehow i m the guilty one
19430,somehow i m the guilty one
19431,the one that pulled the plug
19432,now its getting quiet here now its getting blue
19433,and this baby aint no fair taking up my youth
19434,youve been telling me some lies i be thinking its the truth
19435,but i see it in your eyes the things that you do
19436,i dont wanna waste no time all alone
19437,want somewhere to go something to call my own
19438,and i aint satisfied where to go 
19439,lost out on the road washed up on the shore
19440,and ive been through mountains and seas
19441,tryna get you to come back to me
19442,and ive been far and ive been so deep
19443,now i find it harder and harder to breathe
19444,and i need some new love
19445,new love new love
19446,even though ive run away i still come back
19447,no theres nothing more to say its all been said
19448,ive been trying to explain the things we had
19449,to all of my friends who say that ive gone mad
19450,i dont wanna waste no time all alone
19451,want somewhere to go something to call my own
19452,and i aint satisfied where to go 
19453,lost out on the road washed up on the shore
19454,and ive been through mountains and seas
19455,tryna get you to come back to me
19456,and ive been far and ive been so deep
19457,now i find it harder and harder to breathe
19458,and i need some new love
19459,new love new love
19460,and i need some new love
19461,new love new love
19462,easy come easy go
19463,why are we living on living on 
19464,if were not getting on getting on 
19465,can we just let it go 
19466,cause were waiting for a miracle
19467,why wait for a miracle yeah
19468,and ive been through mountains and seas
19469,tryna get you to come back to me
19470,and ive been far and ive been so deep
19471,now i find it harder and harder to breathe
19472,and i need some new love
19473,new love new love
19474,and i need some new love
19475,new love new love
19476,say the word and i will throw away the key
19477,ooh i think i 
19478,i know its hot
19479,i know weve got
19480,something that money cant buy
19481,fighting in fits
19482,biting your lip
19483,loving til late in the night
19484,tell me im too crazy
19485,you cant tame me cant tame me
19486,tell me i have changed
19487,but im the same me old same me
19488,inside
19489,hey 
19490,if you dont like the way i talk then why am i on your mind 
19491,if you dont like the way i rock then finish your glass of wine
19492,we fight and we argue youll still love me blind
19493,if we dont fuck this whole thing up
19494,guaranteed i can blow your mind
19495,mwah 
19496,and tonight im alive aint no dollar sign
19497,guaranteed i can blow your mind mwah
19498,and tonight im alive aint no dollar sign
19499,guaranteed i can blow your mind mwah
19500,yeah im so bad
19501,best that youve had
19502,i guess youre diggin the show
19503,open the door
19504,you want some more
19505,when you wanna leave let me know
19506,tell me im too crazy
19507,you cant tame me cant tame me
19508,tell me i have changed
19509,but im the same me old same me
19510,inside
19511,hey 
19512,if you dont like the way i talk then why am i on your mind 
19513,if you dont like the way i rock then finish your glass of wine
19514,we fight and we argue youll still love me blind
19515,if we dont fuck this whole thing up
19516,guaranteed i can blow your mind
19517,mwah 
19518,and tonight im alive aint no dollar sign
19519,guaranteed i can blow your mind mwah
19520,and tonight im alive aint no dollar sign
19521,guaranteed i can blow your mind mwah
19522,and tonight im alive aint no dollar sign
19523,guaranteed i can blow your mind mwah hey 
19524,and tonight im alive aint no dollar sign
19525,guaranteed i can blow your mind hey 
19526,tell me im too crazy
19527,you cant tame me cant tame me
19528,tell me i have changed
19529,but im the same me old same me
19530,inside
19531,hey 
19532,mwah 
19533,if you dont like the way i talk then why am i on your mind 
19534,if you dont like the way i rock then finish your glass of wine
19535,we fight and we argue youll still love me blind
19536,if we dont fuck this whole thing up
19537,guaranteed i can blow your mind
19538,mwah 
19539,and tonight im alive aint no dollar sign
19540,guaranteed i can blow your mind mwah
19541,and tonight im alive aint no dollar sign
19542,guaranteed i can blow your mind mwah
19543,falling into you baby
19544,even electricity cant compare to what i feel
19545,when im with you
19546,ooh baby
19547,giving up my ghost for you
19548,and now im see through
19549,you give me a feeling feeling so strong
19550,i know youve been treating treating yourself wrong
19551,so let me care for you
19552,ooh baby
19553,ima love you differently
19554,ill give you electricity
19555,give it to you
19556,and even if i could
19557,i wouldnt turn on you
19558,and i would stop the world for you you know
19559,i wanna let you know ill never let this feeling go
19560,this love has no ceiling i cannot deny
19561,even if i could
19562,i wouldnt turn on you
19563,and i would stop the world for you and i
19564,i wanna let you know ill never let this feeling go
19565,this love has no ceiling i cannot deny
19566,all i see is you lately
19567,wide awake and in my dreams
19568,i see your face so vividly
19569,i dont know what id do
19570,ooh baby
19571,if you only saw a friend in me
19572,id be bittersweet
19573,you give me a feeling feeling so strong
19574,i know youve been treating treating yourself wrong
19575,so let me care for you
19576,ooh baby
19577,ima love you differently
19578,ill give you electricity
19579,give it to you
19580,and even if i could
19581,i wouldnt turn on you
19582,and i would stop the world for you you know
19583,i wanna let you know ill never let this feeling go
19584,this love has no ceiling i cannot deny
19585,even if i could
19586,i wouldnt turn on you
19587,and i would stop the world for you and i
19588,i wanna let you know ill never let this feeling go
19589,this love has no ceiling i cannot deny
19590,i feel electric baby
19591,so electric baby
19592,wanna let you know let you know ooh
19593,i think im ready baby
19594,i think im ready now
19595,electricity im flowing in to you
19596,i feel electric baby 
19597,so electric baby 
19598,wanna let you know let you know 
19599,i think im ready baby 
19600,i think im ready now 
19601,electricity im flowing in to you 
19602,and even if i could
19603,i wouldnt turn on you
19604,and i would stop the world for you you know
19605,i wanna let you know ill never let this feeling go
19606,this love has no ceiling i cannot deny
19607,even if i could
19608,i wouldnt turn on you
19609,and i would stop the world for you and i
19610,i wanna let you know ill never let this feeling go
19611,this love has no ceiling i cannot deny
19612,i feel electric baby
19613,so electric baby
19614,wanna let you know let you know
19615,i think im ready baby
19616,i think im ready now
19617,electricity 
19618,i feel electric baby
19619,so electric baby
19620,wanna let you know let you know
19621,i think im ready baby
19622,i think im ready now
19623,electricity
19624,if you dont wanna see me
19625,did a full 180 crazy
19626,thinking bout the way i was
19627,did the heartbreak change me maybe
19628,but look at where i ended up
19629,im all good already
19630,so moved on its scary
19631,im not where you left me at all so
19632,if you dont wanna see me dancing with somebody
19633,if you wanna believe that anything could stop me
19634,dont show up dont come out
19635,dont start caring about me now
19636,walk away you know how
19637,dont start caring about me now
19638,arent you the guy who tried to
19639,hurt me with the word goodbye 
19640,though it took some time to survive you
19641,im better on the other side
19642,im all good already
19643,so moved on its scary
19644,im not where you left me at all so
19645,if you dont wanna see me dancing with somebody
19646,if you wanna believe that anything could stop me
19647,dont show up dont come out
19648,dont start caring about me now
19649,walk away you know how
19650,dont start caring about me now 
19651,up up
19652,dont come out out out
19653,dont show up up up
19654,dont start now 
19655,up up
19656,dont come out out
19657,im not where you left me at all so
19658,if you dont wanna see me dancing with somebody
19659,if you wanna believe that anything could stop me
19660,dont show up dont come out 
19661,dont start caring about me now 
19662,walk away you know how 
19663,dont start caring about me now 
19664,up up
19665,dont come out out out
19666,dont show up up up
19667,walk away walk away 
19668,up up
19669,dont come out out out
19670,dont show up up up
19671,walk away walk away oh
19672,fatal this attraction
19673,yeah we might just end up crashin
19674,but im ready if it happens with you
19675,meet me out in cali when im far away from family
19676,and i need someone to hold onto
19677,youre the only thing i know
19678,and i dont wanna let this go
19679,close to you i feel feel like im at home
19680,cant wait til were alone
19681,we were built to last
19682,we were built like that
19683,baby take my hand
19684,dive in this romance
19685,we could burn and crash
19686,we could take a chance
19687,holdin nothin back
19688,like its our last dance
19689,like its our last dance
19690,like its our last dance
19691,left my heart wide open
19692,fallin in and out of focus
19693,pressure flowin like a river in my head
19694,crying you aint with me and its floodin the whole city
19695,while my souls burnin like a cigarette
19696,youre the only thing i know
19697,and i dont wanna let this go
19698,close to you i feel feel like im at home
19699,cant wait til were alone
19700,we were built to last
19701,we were built like that
19702,baby take my hand
19703,dive in this romance
19704,we could burn and crash
19705,we could take a chance
19706,holdin nothin back
19707,like its our last dance
19708,now its getting quiet here now its getting blue
19709,and this baby aint no fair taking up my youth
19710,youve been telling me some lies i be thinking its the truth
19711,but i see it in your eyes the things that you do
19712,i dont wanna waste no time all alone
19713,want somewhere to go something to call my own
19714,and i aint satisfied where to go 
19715,lost out on the road washed up on the shore
19716,and ive been through mountains and seas
19717,tryna get you to come back to me
19718,and ive been far and ive been so deep
19719,now i find it harder and harder to breathe
19720,and i need some new love
19721,new love new love
19722,even though ive run away i still come back
19723,no theres nothing more to say its all been said
19724,ive been trying to explain the things we had
19725,to all of my friends who say that ive gone mad
19726,i dont wanna waste no time all alone
19727,want somewhere to go something to call my own
19728,and i aint satisfied where to go 
19729,lost out on the road washed up on the shore
19730,and ive been through mountains and seas
19731,tryna get you to come back to me
19732,and ive been far and ive been so deep
19733,now i find it harder and harder to breathe
19734,and i need some new love
19735,new love new love
19736,and i need some new love
19737,new love new love
19738,easy come easy go
19739,why are we living on living on 
19740,if were not getting on getting on 
19741,can we just let it go 
19742,cause were waiting for a miracle
19743,why wait for a miracle yeah
19744,and ive been through mountains and seas
19745,tryna get you to come back to me
19746,and ive been far and ive been so deep
19747,now i find it harder and harder to breathe
19748,and i need some new love
19749,new love new love
19750,and i need some new love
19751,new love new love
19752,se que hace calor
19753,sé que tenemos
19754,algo que el dinero no puede comprar
19755,luchando en ataques
19756,morder tu labio
19757,amar hasta altas horas de la noche
19758,dime que estoy demasiado loca
19759,no puedes domesticarme no puedes domesticarme
19760,dime que he cambiado
19761,pero soy la misma la vieja yo
19762,dentro
19763, oye 
19764,si no te gusta la forma en la que hablo por qué estoy en tu mente 
19765,si no te gusta la forma en la que me balanceo entonces termina tu copa de vino
19766,peleamos y discutimos todavía me amarás ciegamente
19767,si no jodemos todo esto
19768,garantizado puedo volar tu mente
19769, mwah 
19770,y esta noche estoy viva no hay signo de dólar
19771,garantizado puedo volar tu mente mwah
19772,y esta noche estoy viva no hay signo de dólar
19773,garantizado puedo volar tu mente mwah
19774,si soy tan mala
19775,lo mejor que has tenido
19776,supongo que estás cavando el espectáculo
19777,abre la puerta
19778,quieres algo más
19779,cuando quieras irte avísame
19780,dime que estoy demasiado loca
19781,no puedes domesticarme no puedes domesticarme
19782,dime que he cambiado
19783,pero soy la misma la vieja yo
19784,dentro
19785, oye 
19786,si no te gusta la forma en la que hablo por qué estoy en tu mente 
19787,si no te gusta la forma en la que me balanceo entonces termina tu copa de vino
19788,peleamos y discutimos todavía me amarás ciegamente
19789,si no jodemos todo esto
19790,garantizado puedo volar tu mente
19791, mwah 
19792,y esta noche estoy viva no hay signo de dólar
19793,garantizado puedo volar tu mente mwah
19794,y esta noche estoy viva no hay signo de dólar
19795,garantizado puedo volar tu mente mwah
19796,y esta noche estoy vivo no hay signo de dólar
19797,garantizado puedo volar tu mente mwah hey 
19798,y esta noche estoy vivo no hay signo de dólar
19799,garantizado que puedo volar tu mente oye 
19800,dime que estoy demasiado loca
19801,no puedes domesticarme no puedes domesticarme
19802,dime que he cambiado
19803,pero soy la misma la vieja yo
19804,dentro
19805, oye 
19806,si no te gusta la forma en la que hablo por qué estoy en tu mente 
19807,si no te gusta la forma en la que me balanceo entonces termina tu copa de vino
19808,peleamos y discutimos todavía me amarás ciegamente
19809,si no jodemos todo esto
19810,garantizado puedo volar tu mente
19811, mwah 
19812,y esta noche estoy viva no hay signo de dólar
19813,garantizado puedo volar tu mente mwah
19814,y esta noche estoy viva no hay signo de dólar
19815,garantizado puedo volar tu mente mwah
19816,ah yeah
19817,ah yeah
19818,el me llama el diablo
19819,le hago querer pecar
19820,cada vez que llamo no puede evitar dejarme entrar
19821,debe sentir nostalgia por lo real
19822,soy el mas real que se pone
19823,probablemente todavía me adoras
19824,con mis manos alrededor de tu cuello
19825, puedes sentir el calor si
19826,mientras mi beso baja como un alcohol dulce
19827,de donde vengo si
19828,es mi lado oscuro lo que te hace sentir tan insensible
19829,porque estoy caliente como el infierno
19830, arde cuando no estoy ahí 
19831,y estás solo
19832, soy la respuesta a tus oraciones 
19833,te estoy dando ese placer el cielo
19834,y te lo daré
19835,más caliente que el infierno
19836,más caliente que el infierno
19837,eres mi maná del cielo
19838,todos tenemos que alimentarnos
19839,no puedes dejarme saber que me quieren
19840,no puedes dejarme entrar en tu cabeza
19841,no estoy aquí para hacerte arrodillarte
19842,pero es un elogio lo que recibo
19843,no vas a caminar libre chico
19844,aún no he terminado contigo no
19845, puedes sentir el calor si
19846,mientras mi beso baja como un alcohol dulce
19847,de donde vengo si
19848,es mi lado oscuro lo que te hace sentir tan insensible
19849,porque estoy caliente como el infierno
19850, arde cuando no estoy ahí 
19851,y estás solo
19852, soy la respuesta a tus oraciones 
19853,te estoy dando ese placer el cielo
19854,y te lo daré
19855,más caliente que el infierno
19856,más caliente que el infierno
19857,oh estás ahí abajo
19858,me haces sentir justo ahí
19859,cuando me acuestas ahí
19860,lo hacemos justo ahí
19861,porque te ves tan justo ahí
19862,bebé deberías tocarme ahí mismo
19863,si me llevas justo ahí
19864,podríamos hacerlo
19865,porque estoy caliente como el infierno
19866, arde cuando no estoy ahí 
19867,y estás solo
19868, soy la respuesta a tus oraciones 
19869,te estoy dando ese placer el cielo
19870,y te lo daré
19871,más caliente que el infierno
19872,más caliente que el infierno
19873,más caliente que el infierno
19874,más caliente que el infierno
19875,y te lo daré
19876,más caliente que el infierno
19877,whys it so much better when were not together 
19878,whys it feel so good when its a bad bad idea 
19879,will you protect me from the things that i want 
19880,will you be down and leave the second were done 
19881,i got one thing i want i know that its wrong
19882,but i like to play with fire
19883,ill fuck you with no feelings left
19884,cruel intentions in my head
19885,hate it but i love the way im feelin kinda reckless
19886,i know that we had a past i just want my power back
19887,hate it but i love the way im feelin kinda sеnseless
19888,its a bad idea
19889,but i cant hеlp myself no i cant help myself
19890,its a bad idea
19891,but i cant help myself so ill just help myself to ya
19892,whys it so much better when were not together 
19893,whys it feel so good when its a bad bad idea 
19894,the taste of chaos on the tip of my tongue 
19895,i kinda like the crazy boy ive become 
19896,its about time that i just have me some fun 
19897,cause i like to play with fire
19898,ill fuck you with no feelings left
19899,cruel intentions in my head
19900,hate it but i love the way im feelin kinda reckless
19901,i know that we had a past i just want my power back
19902,hate it but i love the way im feelin kinda senseless
19903,its a bad idea
19904,but i cant help myself no i cant help myself
19905,its a bad idea
19906,but i cant help myself so ill just help myself to ya
19907,whys it so much better when were not together 
19908,whys it feel so good when its a bad bad idea 
19909,no i cant help myself 
19910,i dont know what makes me feel this way 
19911,i dont care because i like it 
19912,i dont know what makes me feel this way 
19913,but i wont stop because i like it yeah 
19914,its a bad idea
19915,but i cant help myself no i cant help myself yeah
19916,before you came around i was doin just fine
19917,usually usually usually i dont pay no mind
19918,and when it came down i was lookin in your eyes
19919,suddenly suddenly suddenly i can feel it inside
19920,ive got a fever so can you check 
19921,hand on my forehead im a wreck
19922,and when i see you baby i turn red
19923,ive got a fever so can you check 
19924,peut être quavec du temps ça partira
19925,et pourtant et pourtant et pourtant je ne my vois pas
19926,comme un médicament moi je suis rien sans toi
19927,et je sais que jеssaie que je pеrds du temps dans tes bras
19928,ive got a fever so can you check 
19929,hand on my forehead im a wreck
19930,and when i see you baby i turn red
19931,ive got a fever so can you check 
19932,car dans mes yeux ça se voit
19933,la fièvre dans les yeux oui ça se voit
19934,mon cœur se serre jai du feu dans la voix
19935,le plus souvent cest quand je pense à toi
19936,ive got a fever so can you check 
19937,hand on my forehead im a wreck
19938,and when i see you baby i turn red
19939,ive got a fever so can you check 
19940,car dans mes yeux ça se voit
19941,la fièvre dans les yeux oui ça se voit
19942,mon cœur se serre jai du feu dans la voix
19943,le plus souvent cest quand je pense à toi
19944,ah yeah
19945,ah yeah
19946,he calls me the devil
19947,i make him wanna sin
19948,every time i knock he cant help but let me in
19949,must be homesick for the real
19950,im the realest it gets
19951,you probably still adore me
19952,with my hands around your neck
19953,can you feel the warmth yeah
19954,as my kiss goes down you like some sweet alcohol
19955,where im coming from yeah
19956,its the darker side of me that makes you feel so numb
19957,cause i m hot like hell
19958,does it burn when im not there 
19959,and youre by yourself
19960,am i the answer to your prayers 
19961,im giving you that pleasure heaven
19962,and ill give it to you
19963,hotter than hell
19964,hotter than hell
19965,youre my manna from heaven
19966,we all gotta get fed
19967,can t let me know im wanted
19968,can t let me in your head
19969,im not here to make you kneel
19970,but its praise that i get
19971,you aint gonna walk free boy
19972,not finished with you yet no
19973,can you feel the warmth yeah
19974,as my kiss goes down you like some sweet alcohol
19975,where i m coming from yeah
19976,its the darker side of me that makes you feel so numb
19977,cause im hot like hell
19978,does it burn when im not there 
19979,and youre by yourself
19980,am i the answer to your prayers 
19981,im giving you that pleasure heaven
19982,and ill give it to you
19983,hotter than hell
19984,hotter than hell
19985,oh youre down right there
19986,you make me feel right there
19987,when you lay me down right there
19988,we just make it right there
19989,cause youre looking so right there
19990,baby you should touch me right there
19991,if you take me right there
19992,we could make it
19993,cause im hot like hell
19994,does it burn when im not there 
19995,and youre by yourself
19996,am i the answer to your prayers 
19997,im giving you that pleasure heaven
19998,and ill give it to you
19999,hotter than hell
20000,hotter than hell
20001,hotter than hell
20002,hotter than hell
20003,and ill give it to you
20004,hotter than hell
20005,me llamas todo amigable
20006,dime cuanto me extrañas
20007,eso es gracioso supongo que has escuchado mis canciones
20008,bueno estoy demasiado ocupada para tus asuntos
20009,ve a buscar una chica que quiera escuchar
20010,porque si crees que nací ayer me has entendido mal
20011,entonces te corté
20012,no necesito tu amor
20013,porque ya lloré lo suficiente
20014,he terminado
20015,he estado moviéndome desde que nos despedimos
20016,te corté
20017,no necesito tu amor
20018,para que puedas probar todo lo que quieras
20019,tu tiempo se acabó te diré por qué
20020,dices que lo sientes pero ya es demasiado tarde
20021,así que guárdalo vete cállate
20022,porque si crees que me preocupo por ti ahora
20023,bueno chico me importa un carajo
20024,recuerdo ese fin de semana
20025,cuando mi mejor amiga te atrapó arrastrándote
20026,le echaste la culpa al alcohol
20027,entonces tomé mi decisión
20028,porque hiciste tu cama duerme en ella
20029,juega a la víctima y cambia tu posición
20030,he terminado he terminado
20031,entonces te corté
20032,no necesito tu amor
20033,porque ya lloré lo suficiente
20034,he terminado
20035,he estado moviéndome desde que nos despedimos
20036,te corté
20037,no necesito tu amor
20038,para que puedas probar todo lo que quieras
20039,tu tiempo se acabó te diré por qué
20040,dices que lo sientes pero ya es demasiado tarde
20041,así que guárdalo vete cállate
20042,porque si crees que me preocupo por ti ahora
